text,label,answer
"রাহিমের কাছে ৫টি আম আছে। করিম তাকে ৩টি আম দিল। এখন তার কাছে কতটি আম?",add,৮
"মিতা ১২টি কলম কিনল। সে ৪টি কলম তার ভাইকে দিল। এখন মিতার কাছে কতটি আছে?",subtract,৮
"একটি ঝুড়িতে ৬টি আপেল আছে। ৪টি ঝুড়িতে মোট কতটি আপেল আছে?",multiply,২৪
"২০টি আম ৫ জনের মধ্যে ভাগ করা হলো। প্রত্যেকে কতটি আম পাবে?",divide,৪
"রুবির কাছে ১৫ টাকা আছে। সে ৭ টাকা খরচ করল, পরে ৩ টাকা পেল। এখন তার কাছে কত টাকা?",multi_step,১১
"একটি বাক্সে ১০টি চকোলেট আছে। মিতা ৩টি বাক্স কিনল। মোট চকোলেট কতটি?",multiply,৩০
"শহিদ ১৮ কেজি চাল কিনল। সে ১০ কেজি ব্যবহার করল। বাকি কত কেজি আছে?",subtract,৮
"প্রতিদিন রাহিম ২ ঘণ্টা পড়াশোনা করে। ৭ দিনে মোট কত ঘণ্টা পড়বে?",multiply,১৪
"একটি বইয়ের দাম ২৫ টাকা। রুবি ২টি বই কিনেছে। মোট কত টাকা লাগল?",multiply,৫০
"রুমির কাছে ৫০ টাকা ছিল। সে ২০ টাকা খরচ করেছে। এখন কত টাকা আছে?",subtract,৩০
"তানিয়ার কাছে ৮টি পেন্সিল আছে। শিলা তাকে ৫টি দিল। এখন কতটি?",add,১৩
"৪টি বাচ্চা মিলে ১৬টি বিস্কুট ভাগ করে খায়। প্রত্যেকে কয়টি পেল?",divide,৪
"একটি গাছে ৩০টি আম আছে। তার মধ্যে ১২টি পড়ল। গাছে কতটি আম রইল?",subtract,১৮
"রাহিম প্রতিদিন ৫ কিমি দৌড়ায়। ৬ দিনে মোট কত কিমি দৌড়াবে?",multiply,৩০
"মিতা ৩৫ টাকা দিয়ে ৫টি কলম কিনল। প্রতিটি কলমের দাম কত?",divide,৭
"রুবেল ৪টি খাতা কিনেছে। প্রতিটি খাতার দাম ১৫ টাকা। মোট কত টাকা লাগল?",multiply,৬০
"সুমির কাছে ৯০ টাকা আছে। সে ৩০ টাকা দিয়ে একটি বই কিনেছে। বাকি কত টাকা আছে?",subtract,৬০
"১০টি চেয়ার আছে। আরও ৫টি আনা হলো। এখন মোট চেয়ার কতটি?",add,১৫
"৪০ জন শিক্ষার্থী ৫টি সারিতে দাঁড়াল। প্রতিটি সারিতে কতজন দাঁড়াল?",divide,৮
"একজন কৃষক ২৪টি ডিম উৎপাদন করেছে। সে ৬টি ঝুড়িতে ভাগ করল। প্রতিটি ঝুড়িতে কয়টি ডিম?",divide,৪
"মোহনের কাছে ২০টি আম আছে। সে ৫টি খেল এবং ৩টি তার ভাইকে দিল। এখন কতটি বাকি?",multi_step,১২
"৩টি ট্রাকে সমান সংখ্যক ১৮০টি বাক্স বহন করা হলো। প্রতিটি ট্রাকে কতটি বাক্স?",divide,৬০
"শিলা ৫০ টাকা পেয়েছে। সে ২০ টাকা দিয়ে একটি খেলনা কিনেছে এবং পরে আরও ১০ টাকা খরচ করেছে। এখন কত টাকা আছে?",multi_step,২০
"১০টি গাড়ি আছে। প্রতিটি গাড়িতে ৪ জন যাত্রী বসে। মোট কতজন যাত্রী আছে?",multiply,৪০
"২৫টি আপেল থেকে ৭টি নষ্ট হলো। ভালো আপেল কতটি আছে?",subtract,১৮
"৪টি ঝুড়িতে ১২টি করে আম আছে। মোট কতটি আম আছে?",multiply,৪৮
"৫০টি ক্যান্ডি ১০ জন শিশুর মধ্যে ভাগ করা হলো। প্রত্যেকে কয়টি ক্যান্ডি পেল?",divide,৫
"রুবি ৮টি কলম কিনেছে। সে আরও ৬টি কিনল। মোট কতটি কলম আছে?",add,১৪
"৭০ টাকা থেকে ২৫ টাকা খরচ হলো। এখন কত টাকা আছে?",subtract,৪৫
"রাহিম ১২টি আম খেল এবং পরে আরও ৮টি আম খেল। মোট কতটি খেল?",add,২০
"৩২টি আম আছে। ৮ জন বন্ধুর মধ্যে ভাগ করা হলো। প্রত্যেকে কয়টি আম পেল?",divide,৪
"৫টি ব্যাগে ১০টি করে বই আছে। মোট কতটি বই হলো?",multiply,৫০
"রুবির কাছে ৪০ টাকা আছে। সে ১৫ টাকা খরচ করল এবং পরে ৫ টাকা পেল। এখন কত টাকা আছে?",multi_step,৩০
"৮টি মুরগি প্রতিদিন ২টি ডিম দেয়। একদিনে মোট কতটি ডিম হবে?",multiply,১৬
"একটি স্কুলে ১০০ জন ছাত্র আছে। তাদের ২৫ জন করে দলে ভাগ করা হলো। কয়টি দল হলো?",divide,৪
