text,label,answer
"সানির কিছু মার্বেল রয়েছে। তিনি ৪৮৯ মার্বেল কিনেছিলেন। এখন তার সব মিলিয়ে ২৭৭৮ মার্বেল রয়েছে। তিনি কয়টি দিয়ে শুরু করেছিলেন?","subtract","১৯২৯"
"কমলির ১২১ টি খেলনা ছিল। এখন তার ২২ টি খেলনা আছে, তাহলে সে কতগুলো খেলনা হারিয়ে ফেলেছে?","subtract","৯৯"
"কমলিনির কিছু মার্বেল ছিল। সে জুয়ানকে ১৮৩ গুলি মার্বেল দিয়েছে। এখন তার হাতে রয়েছে ৫৯৩ টি মার্বেল। প্রথমে তার কতগুলি মার্বেল ছিল?","add","৭৭৬"
"কনিকার ২৩১৫ টি লাল কলম এবং ১০২৮ টি নীল কলম রয়েছে। তার মোট কতটি কলম রয়েছে?","add","৩৩৪৩"
"ইশিতার ৩৪৪ টি বই রয়েছে। ২৩৬ টি গল্পের বই এবং বাকিগুলি খেলাধুলার বিষয়ে। তবে খেলা সম্পর্কিত কয়টি বই রয়েছে ইশার?","subtract","১০৮"
"ইশানের ২২৩ টি বাঁশি রয়েছে। চারুর চেয়ে তার ৯৫ টি বাঁশি বেশি রয়েছে। চারুর কয়টি বেশি বাঁশি রয়েছে?","subtract","১২৮"
"আমিনের ২৭ টি প্যাকেট আঠা রয়েছে। প্রতিটি প্যাকেজে ১৮ টি টুকরো রয়েছে। রবিনের কাছে মোট কত টুকরো আঠা রয়েছে?","subtract","৪৮৬"
"রনি কাছে ৫.০০ টাকা জমিয়েছে বিমান কেনার জন্যে। বিমাটির দাম ৪.২৮ টাকা । সে কতটা ফেরত পাবে?","subtract","০.৭২"
"যদি প্রতিটি বলের দাম ১.৫৮ টাকা হয়। তবে কিরণকে ৩ বলের জন্য কত দাম দিতে হবে?","multiply","৪.৭৪"
"দুলাল ৪ টি বাক্সে সমানভাবে ভরা ৪৮ টি বিস্কুট কিনেছিলেন। প্রতিটি বাক্সে কত বিস্কুট ছিল?","divide","১২"
"সুমির পরিবার গাড়িতে করে ৫ দিনের ছুটিতে গিয়েছিল। প্রতিদিন তারা ২৫০ মাইল পথ চালিয়েছিল। তারা মোট কত মাইল গাড়ি চালিয়েছিল?","multiply","১২৫০"
"মুর্শিদাবাদ শহরে ৫২৫৯ সাবালক এবং ২৯৮৭ শিশু রয়েছে। মুর্শিদাবাদে মোট কত জন লোক থাকেন?","add","৮২৪৬"
"নিশা ২৭ টাকার জন্য ৪ টি ডিভিডি ভাড়া দিয়েছিল। প্রতি ৪ টি ডিভিডি ভাড়া নিতে কত খরচ হয়েছিল?","multiply","১০৪"
"একটি জারে ৩৪০৮ টুকরো মিছরি ছিল। যদি ১৪৫ টুকরোগুলি লাল এবং বাকীগুলো নীল থাকে। তবে কটি নীল ছিল?","subtract","৩২২৩"
"তৃতীয় শ্রেণির শিক্ষার্থীরা ৯ টি বাসে একটি অনুষ্ঠানে গিয়েছিল। প্রতিটি বাসে ৪৫ জন শিক্ষার্থী ছিল। কত জন শিক্ষার্থী অনুষ্ঠানে গিয়েছিল?","multiply","৪০৫"
"বিদ্যালয়ের দেওয়ালে ১২৯ জন শিক্ষার্থী প্রত্যেকে ৩ টি করে ছবি তৈরি করে। তারা একসাথে মোট কতগুলো ছবি তৈরি করবে?","multiply","৩৮৭"
"খাবারের ঘরে প্রতিটি টেবিলে ৯ জন ছাত্র বসে ছিলেন। ৩৪ টি টেবিল রয়েছে। খাবারের ঘরে কত জন ছাত্র বসে ছিল?","multiply","৩৪২"
"তিতলির ১৯ টি কুকুর ছিল। প্রতিটি কুকুরের ৫ টি কুকুরছানা ছিল। তিতলির এখন কয়টি কুকুরছানা রয়েছে?","multiply","৯৫"
"আমার কাছে ১২৭ টি আপেল ছিল। সে তার প্রতিবেশীকে ৮৮ টি আপেল দিয়েছে। এখন তার কাছে কত আপেল আছে?","subtract","৩৯"
"জীবন তার জন্মদিনের পার্টিতে ৩৯ জনকে আমন্ত্রণ জানিয়েছিল। তারা প্রত্যেকে ১০ টুকরো কেক খেয়েছিল। তারা কত টুকরো কেক খেয়েছে?","multiply","৩৯০"
"প্রভাত ১ কেজি কাপড় ধোয়াতে ২ গ্রাম সাবানের গুঁড়ো ব্যবহার করেন। তিনি ৯ কেজি কাপড় ধোতে কত গ্রাম সাবান ব্যবহার করবেন?","multiply","১৮"
"একটি অনুষ্ঠানে ৬৫৮৯৯ জন অংশ নিয়েছিল। দ্বিতীয় অনুষ্ঠানে আরও ৮৮৭৬ জন উপস্থিতি ছিল। ুটি অনুষ্ঠানে কত লোক ছিল?","add","৭৪৭৬৫"
"সুস্মিত  মোট ৩ জন লোকের মধ্যে 3৭৫ টাকা সমানভাবে ভাগ করতে হবে। প্রতিটি ব্যক্তি কত টাকা পাবে?","divide","১২৫"
"মিসেস হাঁসদা ৪ টি বই পড়েছিলেন। প্রতিটি বইয়ের ১৭ টি অধ্যায় ছিল। মিসেস হাঁসদা কতটি অধ্যায় পড়েছিলেন?","multiply","৬৮"
"দুলাল বাবু  এই মৌচাকে ১৪৪ টি মৌমাছি দেখেছিলেন। পরের দিন তিনি ৪ গুন বেশি মৌমাছি দেখেছিলেন। দ্বিতীয় দিনে সে কয়টি মৌমাছি দেখেছে?","multiply","৫৭৬"
"মিসেস পাল টেবিল থেকে জলের ঝর্ণাটির দূরত্ব ৩০ ফুট ছিল। তিনি আজ ৪ বার জল ঝর্ণায় গেলে। মিসেস পাল ঝর্ণার পথে কত ফুট হেঁটে যাবেন?","multiply","৪৩২"
"সোহিনি ২২ মাছ লুসির রয়েছে। তিনি আরও ৬৮ টি মাছ কিনতে চান। লুসির তখন কত মাছ থাকবে?","multiply","১২০"
"নীলের কাছে ২১  মাছ আছে। ২৮০ মাছ রাখতে তার আরও কতটি মাছ কিনতে হবে?","subtract","২৫৯"
"দোলাতে রৌনক ১৫৯ বার চড়েছিলেন। রুপালি রৌনকের চেয়ে ৮ বার বেশি চড়েছিল। তারা কতবার একসাথে চড়েছিল?","multiply","১২৭২"
"হারার কুকুরের ডান কানে ৩৬০ টি পোকা এবং ৮৫ টি বাচ্চা তার বাম কানে। হারা তার কুকুরের কান পরিষ্কার করল। কতগুলি বংশ মারা গেল?","add","৪৪৫"
